sku,msrp,qty,price,cost,upc,type,status,visibility,enable_googlecheckout,tax_class_id,category_ids,iceus_component_type_1,iceus_watch_brand_and_designer,iceus_watch_collection,iceus_item_target_audience,name,url_path,url_key,page_layout,options_container,msrp_enabled,msrp_display_actual_price_type,gift_message_available,product_type_id,description,iceus_watch_strap_material,iceus_watch_dial_color,iceus_watch_movement_type,iceus_watch_clasp_type,iceus_watch_band_type,iceus_watch_band_color,iceus_watch_case_shape,iceus_watch_case_diameter,iceus_watch_bracelet_width,iceus_watch_bracelet_length,iceus_watch_crystal,iceus_watch_crown_type,country_of_manufacture,iceus_watch_water_resist,iceus_watch_bezel_material,attribute_set,iceus_vendor,weight
al-20007,275,25,86.99,63.9,7.23E+11,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Amore,Women,A Line Women's Amore,A-Line-Womens-Amore-al-20007/,A-Line-Womens-Amore-al-20050-bk,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Black aluminum case, Black dial, Black aluminum bracelet, Japanese chronograph quartz movement, 5 ATM/50 Meters/165 Feet",Aluminum,Black,Japanese chronograph quartz,Hidden,Bracelet,Black,Round,41 mm,17 mm,6 inches,Mineral,Push/Pull,China,5 ATM/50 Meters/165 Feet,Black aluminum,Ice US,Accuratime Corp,1
al-20008,7000,1,2768.99,2050,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,313,398",Watch,Milus,Montre,Men,Milus Men's Montre,Milus-Mens-Montre-al-20008/,Milus-Mens-Montre-xep203,No layout updates,Block after Info Column,Use config,Use config,No,simple,"18 K Gold case, Leather strap, Cream dial, Automatic movement, Scratch resistant sapphire, Water resistant 3 ATM - 30 meters - 99 feet",Genuine Leather,Cream,Automatic,Buckle,Strap,Brown,Round,36mm,20mm,7 inches,Sapphire,Push/pull,Switzerland,3 ATM - 30 meters - 99 feet,18 K Gold,Ice US,Accuratime Corp,1
al-20009,495,25,95.99,70.2,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,907",Watch,Invicta,Wildflower,Women,Invicta Women's Wildflower,Invicta-Womens-Wildflower-al-20009/,Invicta-Womens-Wildflower-invicta-0137,No layout updates,Block after Info Column,Use config,Use config,No,simple,"18K gold plated stainless steel Bracelet,Gold dial, Quartzmovement, Water Resistant 5 ATM/50 meters/165 feet.",Gold,Gold,Swiss parts quartz,Jewelry,Bracelet,Yellow,,22 mm,11 mm,6 inches,Flame Fusion,Push/pull,China,5 ATM/50 meters/165 feet,,Ice US,Accuratime Corp,1
al-20010,495,25,146.99,108,7.23E+11,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Marina,Women,A Line Women's Marina,A-Line-Womens-Marina-al-20010/,A-Line-Womens-Marina-al-20040-wwwgr,No layout updates,Block after Info Column,Use config,Use config,No,simple,"White ceramic case, White dial, White ceramic bracelet, Japanese chronograph quartz movement, 5 ATM/50 meters/165 feet",Ceramic,Silver textured,Quartz,Push button hidden,Bracelet,White,Round,40 mm,17 mm,6 inches,Mineral,Push/Pull,China,5 ATM/50 meters/165 feet,White ceramic,Ice US,Accuratime Corp,1
al-20011,275,25,86.99,63.9,7.23E+11,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Amore,Women,A Line Women's Amore,A-Line-Womens-Amore-al-20011/,A-Line-Womens-Amore-al-20050-gr,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Grey aluminum case, Grey dial, Grey aluminum bracelet, Japanese chronograph quartz movement, 5 ATM/50 meters/165 feet",Aluminum,Grey,Japanese chronograph quartz,Hidden,Bracelet,Gray,Round,41 mm,17 mm,6 inches,Mineral,Push/Pull,China,5 ATM/50 meters/165 feet,Grey aluminum,Ice US,Accuratime Corp,1
al-20012,275,25,86.99,63.9,7.23E+11,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Amore,Women,A Line Women's Amore,A-Line-Womens-Amore-al-20012/,A-Line-Womens-Amore-al-20050-lbu,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Light blue aluminum case, Light blue dial, Light blue aluminum bracelet, Japanese chronograph quartz movement, 5 ATM/50 Meters/165 feet",Aluminum,Light blue,Japanese chronograph quartz,Hidden,Bracelet,Blue,Round,41 mm,17 mm,6 inches,Mineral,Push/Pull,China,5 ATM/50 Meters/165 feet,Light blue aluminum,Ice US,Accuratime Corp,1
al-20013,750,4,600.99,150,39517432516,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,313,394",Watch,Jivago,Titan,Men,Jivago Men's Titan chronograph,Jivago-Mens-Titan-chronograph-al-20013/,Jivago-Mens-Titan-chronograph-jv9122,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Stainless steel bracelet, Black dial, Quartz movement, Scratch resistant sapphire, Water resistant up to 3 ATM - 30 meters - 99 feet",Stainless Steel,Black,Swiss Parts Qua,Deployment,Bracelet,Silver & Black,Round,40mm,22mm,7 inches,Mineral,Screw Down,China,10 ATM - 100 Meters - 330 Feet,"Chronograph, Date display, Measures-seconds",Ice US,Accuratime Corp,1
al-20014,750,10,600.99,150,39517432561,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,313,394",Watch,Jivago,Titan,Men,Jivago Men's Titan chronograph,Jivago-Mens-Titan-chronograph-al-20014/,Jivago-Mens-Titan-chronograph-jv9127,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Stainless steel bracelet, Black dial, Quartz movement, Scratch resistant sapphire, Water resistant up to 5 ATM - 50 meters - 165 feet",Stainless Steel,Black,Swiss Parts Qua,Deployment,Bracelet,Rose Gold & Black,Round,40mm,22mm,7 inches,Mineral,Screw Down,China,10 ATM - 100 Meters - 330 Feet,"Chronograph, Date display, Measures-seconds",Ice US,Accuratime Corp,1
al-20015,225,2,83.99,61.56,7.66E+11,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,416",Watch,Toywatch,Plasteramic Collection,Women,Toywatch Women's Plasteramic Collection,Toywatch-Womens-Plasteramic-Collection-al-20015/,Toywatch-Womens-Plasteramic-Collection-flp02gd,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Alloy with imitation aluminum rubber Spay case, Polyurethane strap, Yellow dial, Quartz movement, Scratch resistant mineral, Water resistant up to 5 ATM - 50 Meters - 165 Feet",Aluminum,Gold,Quartz,Fold over,Strap,Gold,Round,40mm,19mm,7 inches,Mineral,Push/pull,China,10 ATM - 100 Meters - 330 Feet,"Luminous, Date display, Measures-second",Ice US,Accuratime Corp,1
al-20016,275,25,86.99,63.9,U722631424252,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Amore,Women,A Line Women's Amore,A-Line-Womens-Amore-al-20016/,A-Line-Womens-Amore-al-20050-bk-sl,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Black aluminum case, Silver dial, Black aluminum bracelet, Japanese chronograph quartz movement, 5 ATM/50 Meters/165 feet",Aluminum,Silver,Japanese chronograph quartz,Stainless steel hidden,Bracelet,Black,Round,41 mm,17 mm,6 inches,Mineral,Push/Pull,China,5 ATM/50 Meters/165 feet,Black aluminum,Ice US,Accuratime Corp,1
al-20040-bebesr,495,25,146.99,108,7.23E+11,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Marina,Women,A Line Women's Marina,A-Line-Womens-Marina-al-20040-bebesr/,A-Line-Womens-Marina-al-20040-bebesr,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Beige ceramic case, Beige textured dial, Beige ceramic bracelet, Quartz movement, 10 ATM/100 meters/330 feet",Ceramic,Beige textured,Quartz,Push button hidden,Bracelet,Beige,Round,40 mm,17 mm,6 inches,Mineral,Push/Pull,China,10 ATM/100 meters/330 feet,Beige ceramic,Ice US,Accuratime Corp,1
al-20040-bebeyr,495,25,146.99,108,U722631407613,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Marina,Women,A Line Women's Marina,A-Line-Womens-Marina-al-20040-bebeyr/,A-Line-Womens-Marina-al-20040-bebeyr,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Beige ceramic case, Silver textured dial, Beige ceramic bracelet, Quartz movement, 5 ATM/50 meters/165 feet",Ceramic,Silver textured,Quartz,Push button hidden,Bracelet,Beige,Round,40 mm,17 mm,6 inches,Mineral,Push/Pull,China,5 ATM/50 meters/165 feet,Beige ceramic,Ice US,Accuratime Corp,1
al-20040-bkbgr,175,1,90.99,66.5,7.29E+11,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,392",Watch,Guess,Analogue,Women,Guess Women's Analogue,Guess-Womens-Analogue-al-20040-bkbgr/,Guess-Womens-Analogue-w11603l2,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Alloy with imitation aluminum rubber Spay case, Synthetic leather strap, White dial, Quartz movement, Scratch-resistant Mineral, Water resistant up to 10 ATM-100 Meters-330 Feet",Aluminum,Black,Quartz,Deployment Buckle,Bracelet,Black,Round,40mm,20mm,6 inches,Mineral,Push/pull,China,5 ATM - 50 Meters - 165 Feet,"Chronograph, Measures-seconds,",Ice US,Accuratime Corp,1
al-20040-bkbsr,195,1,158.99,117,8.86E+11,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,908",Watch,Juicy Couture,Rich Girl,Women,Juicy Couture Women's Rich Girl,Juicy-Couture-Womens-Rich-Girl-al-20040-bkbsr/,Juicy-Couture-Womens-Rich-Girl-1900802,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Alloy with imitation aluminum rubber Spay case, Alloy with imitation aluminum rubber Spay Bracelet, Black dial, Quartz movement, Scratch resistant mineral, Water resistant up to 3 ATM - 30 meters - 99 feet",Aluminum,Black,Quartz,Fold over,Bracelet,Black,Round,41mm,22mm,7 inches,Mineral,Push/pull,China,3 ATM - 30 meters - 99 feet,,Ice US,Accuratime Corp,1
al-20040-nbwsr,275,25,86.99,63.9,U722631426256,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Amore,Women,A Line Women's Amore,A-Line-Womens-Amore-al-20040-nbwsr/,A-Line-Womens-Amore-al-20050-nb-sl,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Navy blue aluminum with stainless steel back case, Silver dial, Navy blue aluminum bracelet, Japanese chronograph quartz movement, 5 ATM/50 meters/165 feet",Aluminum,Silver,Japanese chronograph quartz,Hidden,Bracelet,Blue,Round,41 mm,17 mm,6 inches,Mineral,Push/Pull,China,5 ATM/50 meters/165 feet,Navy blue aluminum with stainless steel back,Ice US,Accuratime Corp,1
al-20040-nbwyr,495,25,146.99,108,7.23E+11,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Marina,Women,A Line Women's Marina,A-Line-Womens-Marina-al-20040-nbwyr/,A-Line-Womens-Marina-al-20040-nbwsr,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Blue ceramic case, Silver textured dial, Blue ceramic bracelet, Quartz movement, 10 ATM/100 meters/330 feet",Ceramic,Silver textured,Quartz,Push button hidden,Bracelet,Blue,Round,40 mm,17 mm,6 inches,Mineral,Push/Pull,China,10 ATM/100 meters/330 feet,Blue ceramic,Ice US,Accuratime Corp,1
al-20040-wwwgr,495,25,146.99,108,7.23E+11,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Marina,Women,A Line Women's Marina,A-Line-Womens-Marina-al-20040-wwwgr/,A-Line-Womens-Marina-al-20040-wwwrr,No layout updates,Block after Info Column,Use config,Use config,No,simple,"White ceramic case, White dial, White ceramic bracelet, Japanese chronograph quartz movement, 5 ATM/50 meters/165 feet",Ceramic,Silver textured,Quartz,Push button hidden,Bracelet,White,Round,40 mm,17 mm,6 inches,Mineral,Push/Pull,China,10 ATM/100 meters/330 feet,White ceramic,Ice US,Accuratime Corp,1
al-20040-wwwrr,595,25,180.99,133.2,U722630014805,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Marina,Women,A Line Women's Marina,A-Line-Womens-Marina-al-20040-wwwrr/,A-Line-Womens-Marina-al-20041-wwwgr,No layout updates,Block after Info Column,Use config,Use config,No,simple,"White ceramic case, White dial, White ceramic bracelet, Swiss made chronograph quartz (ETA G10.211) movement, 10 ATM/100 meters/330 feet",Ceramic,White,Japanese chronograph quartz,Push button hidden,Bracelet,White,Round,40 mm,17 mm,6 inches,Mineral,Push/Pull,China,5 ATM/50 meters/165 feet,White ceramic,Ice US,Accuratime Corp,1
al-20041-wwwgr,595,25,180.99,133.2,U722630014782,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Marina,Women,A Line Women's Marina,A-Line-Womens-Marina-al-20041-wwwgr/,A-Line-Womens-Marina-al-20041-wwwsr,No layout updates,Block after Info Column,Use config,Use config,No,simple,"White Ceramic, Rose dial, Japanese quartz movement, Sapphitek, 5 ATM/50 meters/165 feet",Ceramic,White,Japanese chronograph quartz,Push button hidden,Bracelet,White,Round,40 mm,17 mm,6 inches,Mineral,Push/Pull,China,5 ATM/50 meters/165 feet,White ceramic,Ice US,Accuratime Corp,1
al-20041-wwwsr,495,25,114.99,84.74,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,313,907",Watch,Invicta,Specialty,Men,Invicta Men's Specialty,Invicta-Mens-Specialty-al-20041-wwwsr/,Invicta-Mens-Specialty-12172,No layout updates,Block after Info Column,Use config,Use config,No,simple,"18k gold plated stainless steel, Gold Dial,Swiss parts quartz, Flame Fusion, Water Resistant5 ATM/50 meters/165 feet.",Gold,Silver,Quartz,Buckle,Bracelet,Black,,48 mm,25 mm,7 inches,Flame Fusion,Screw-down,China,10 ATM/100 meters/330 feet,,Ice US,Accuratime Corp,1
